Frame Rate:,24.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
21,00:00:00.875,5.462507773631841,2.8581156716417913,4.933558768656717,8.595848880597014
22,00:00:00.917,4.746960509950249,2.4771455223880596,4.330923507462686,7.4328125
23,00:00:00.958,5.689272388059702,2.8939132462686565,5.264295708955224,8.909608208955223
24,00:00:01.000,7.272123756218906,3.6648787313432836,6.923390858208955,11.228101679104478
25,00:00:01.042,7.424828980099503,3.7834188432835822,7.126119402985075,11.36494869402985
26,00:00:01.083,6.031972947761194,2.999160447761194,5.713736007462686,9.383022388059702
27,00:00:01.125,4.902285447761194,2.4851212686567163,4.456296641791044,7.765438432835821
28,00:00:01.167,4.50625,2.188875932835821,3.9851212686567163,7.3447527985074625
29,00:00:01.208,4.943509017412935,2.720359141791045,4.396175373134328,7.713992537313433
30,00:00:01.250,4.9534514925373125,2.671618470149254,4.6275186567164175,7.5612173507462686
31,00:00:01.292,5.435129042288557,2.898484141791045,5.214715485074627,8.1921875
32,00:00:01.333,5.347185945273632,2.863106343283582,5.018120335820895,8.160331156716419
33,00:00:01.375,3.8374689054726367,2.152332089552239,3.247481343283582,6.11259328358209
34,00:00:01.417,3.072807835820895,1.7512360074626865,2.4956389925373132,4.971548507462686
35,00:00:01.458,4.31513526119403,2.205876865671642,3.9532416044776117,6.786287313432836
36,00:00:01.500,6.485859763681592,3.1350279850746268,6.3101679104477615,10.012383395522388
37,00:00:01.542,5.942747201492537,3.140391791044776,5.550023320895522,9.137826492537313
38,00:00:01.583,5.552316542288557,3.2184235074626866,4.82490671641791,8.613619402985075
39,00:00:01.625,5.19266946517413,2.7758628731343284,4.588059701492537,8.214085820895523
40,00:00:01.667,3.4563899253731343,1.9571361940298508,2.92548973880597,5.486543843283582
41,00:00:01.708,2.9686333955223883,1.4772621268656716,2.3498367537313434,5.078801305970149
42,00:00:01.750,3.2704446517412937,1.6993236940298508,2.6699626865671644,5.442047574626866
43,00:00:01.792,2.959102922885572,1.6248600746268658,2.2355410447761193,5.0169076492537314
44,00:00:01.833,2.372450248756219,1.302588619402985,1.7986707089552239,4.016091417910448
45,00:00:01.875,2.873670708955224,1.544776119402985,2.371268656716418,4.704967350746268
46,00:00:01.917,3.225458644278607,1.8774720149253732,2.5958722014925373,5.20303171641791
47,00:00:01.958,4.080091728855721,2.204267723880597,3.439319029850746,6.596688432835821
48,00:00:02.000,4.21552394278607,2.196641791044776,3.6541744402985072,6.795755597014925
49,00:00:02.042,3.6579524253731344,1.909911380597015,3.059444962686567,6.004500932835821
50,00:00:02.083,4.490858208955224,2.3755597014925374,3.952705223880597,7.144309701492538
51,00:00:02.125,48.903226057213935,24.396991604477613,52.864179104477614,69.44850746268656
52,00:00:02.167,4.43076026119403,2.1196361940298507,3.4553404850746268,7.717304104477612
53,00:00:02.208,3.232602611940298,1.506436567164179,2.437919776119403,5.753451492537313
54,00:00:02.250,2.7977145522388063,1.2313199626865672,2.030107276119403,5.1317164179104475
55,00:00:02.292,3.0230332711442784,1.3797574626865672,2.1510960820895524,5.538246268656716
56,00:00:02.333,2.9335432213930352,1.4257695895522389,1.9938666044776119,5.380993470149254
57,00:00:02.375,2.1402285447761193,1.0359375,1.4371268656716418,3.9476212686567163
58,00:00:02.417,2.838370646766169,1.2779151119402985,2.148250932835821,5.088945895522388
59,00:00:02.458,3.756708644278607,1.6648787313432836,2.9497667910447762,6.655480410447761
60,00:00:02.500,3.748717350746269,1.6307369402985075,2.9373833955223883,6.678031716417911
61,00:00:02.542,2.941907649253731,1.2777751865671643,2.1863805970149253,5.361567164179104
62,00:00:02.583,2.386015236318408,1.1061567164179105,1.6448227611940298,4.407066231343284
63,00:00:02.625,2.0986784825870646,1.1375699626865672,1.2265391791044775,3.9319263059701495
64,00:00:02.667,3.446913868159204,1.553311567164179,2.6419309701492537,6.145499067164179
65,00:00:02.708,4.627269900497512,1.9815065298507464,3.845545708955224,8.054757462686567
66,00:00:02.750,4.1116526741293535,1.8237873134328357,3.311660447761194,7.19951026119403
67,00:00:02.792,5.14043065920398,2.2559235074626867,4.350746268656716,8.814622201492538
68,00:00:02.833,4.536590485074627,2.103847947761194,3.664668843283582,7.841254664179105
69,00:00:02.875,4.065998134328359,2.036287313432836,2.8902518656716416,7.271455223880597
70,00:00:02.917,3.890088619402985,1.8664179104477612,2.8066464552238806,6.997201492537314
71,00:00:02.958,3.759880286069651,1.6467350746268656,2.9409514925373132,6.691954291044776
72,00:00:03.000,3.256786380597015,1.460517723880597,2.424440298507463,5.885401119402985
73,00:00:03.042,2.9476134950248754,1.4038013059701493,1.9620335820895523,5.477005597014926
74,00:00:03.083,4.177573072139304,1.8500466417910448,3.270475746268657,7.412196828358209
75,00:00:03.125,4.332447139303483,1.8283815298507462,3.601819029850746,7.567140858208956
76,00:00:03.167,3.4519589552238803,1.4994869402985074,2.684514925373134,6.171875
77,00:00:03.208,2.7866837686567165,1.2780783582089552,1.940625,5.141347947761194
78,00:00:03.250,2.5921719527363183,1.329500932835821,1.705830223880597,4.7411847014925375
79,00:00:03.292,2.722792288557214,1.3090951492537313,1.9300139925373134,4.929267723880597
80,00:00:03.333,3.8198305348258708,1.6724113805970149,2.977751865671642,6.809328358208956
81,00:00:03.375,3.6787468905472642,1.6793143656716418,2.788642723880597,6.568283582089553
82,00:00:03.417,3.53037157960199,1.6166277985074626,2.607392723880597,6.36709421641791
83,00:00:03.458,3.8097403606965177,1.6443796641791044,2.9489505597014927,6.8358908582089555
84,00:00:03.500,4.036341728855722,1.7435167910447762,3.2887126865671643,7.076795708955224
85,00:00:03.542,3.844340796019901,1.7400419776119402,3.041581156716418,6.751399253731344
86,00:00:03.583,3.5059390547263685,1.7107276119402985,2.5683069029850745,6.238782649253731
87,00:00:03.625,3.263541666666667,1.693330223880597,2.117374067164179,5.979920708955224
88,00:00:03.667,3.582890236318408,1.7003964552238806,2.530597014925373,6.5176772388059705
89,00:00:03.708,4.11337842039801,1.8568330223880598,3.272341417910448,7.210960820895522
90,00:00:03.750,4.7329990671641795,2.1922108208955224,3.7845149253731343,8.222271455223881
91,00:00:03.792,4.5537235696517415,2.129804104477612,3.537196828358209,7.994169776119403
92,00:00:03.833,3.3686955845771145,1.4836986940298507,2.662966417910448,5.959421641791045
93,00:00:03.875,4.137717661691543,1.7843516791044776,3.3768889925373133,7.251912313432836
94,00:00:03.917,4.65576026119403,2.006716417910448,3.8602378731343285,8.100326492537313
95,00:00:03.958,4.007688121890547,1.7323694029850747,3.2638992537313434,7.026795708955224
96,00:00:04.000,3.1798740671641794,1.51044776119403,2.5413712686567163,5.487803171641791
